year,week,team,temperature
2013,Week 13,Jets,49
2013,Week 13,Cardinals,47
2013,Week 13,Eagles,47
2013,Week 13,Falcons,°F
2013,Week 13,Bills,°F
2013,Week 13,Rams,66
2013,Week 13,49ers,66
2013,Week 13,Patriots,67
2013,Week 13,Texans,67
2013,Week 13,Bengals,76
2013,Week 13,Chargers,76
2013,Week 13,Giants,37
2013,Week 13,Washington,37
2013,Week 13,Saints,42
2013,Week 13,Seahawks,42
2013,Week 14,Texans,70
2013,Week 14,Jaguars,70
2013,Week 14,Colts,28
2013,Week 14,Bengals,28
2013,Week 14,Bills,83
2013,Week 14,Buccaneers,83
2013,Week 14,Chiefs,28
2013,Week 14,Washington,28
2013,Week 14,Vikings,30
2013,Week 14,Ravens,30
2013,Week 14,Browns,31
2013,Week 14,Patriots,31
2013,Week 14,Raiders,34
2013,Week 14,Jets,34
2013,Week 14,Lions,27
2013,Week 14,Eagles,27
2013,Week 14,Dolphins,26
2013,Week 14,Steelers,26
2013,Week 14,Falcons,10
2013,Week 14,Packers,10
2013,Week 14,Titans,19
2013,Week 14,Broncos,19
2013,Week 14,Giants,53
2013,Week 14,Chargers,53
2013,Week 14,Seahawks,45
2013,Week 14,49ers,45
2013,Week 14,Rams,55
2013,Week 14,Cardinals,55
2013,Week 14,Panthers,52
2013,Week 14,Saints,52
2013,Week 14,Cowboys,7
2013,Week 14,Bears,7
2013,Week 15,Chargers,39
2013,Week 15,Broncos,39
2013,Week 15,Washington,39
2013,Week 15,Falcons,39
2013,Week 15,Bears,22
2013,Week 15,Browns,22
2013,Week 15,Cardinals,34
2013,Week 15,Titans,34
2013,Week 15,Texans,19
2013,Week 15,Colts,19
2013,Week 15,Saints,33
2013,Week 15,Rams,33
2013,Week 15,Patriots,85
2013,Week 15,Dolphins,85
2013,Week 15,Eagles,3
2013,Week 15,Vikings,3
2013,Week 15,Seahawks,40
2013,Week 15,Giants,40
2013,Week 15,Bills,66
2013,Week 15,Jaguars,66
2013,Week 15,49ers,69
2013,Week 15,Buccaneers,69
2013,Week 15,Jets,44
2013,Week 15,Panthers,44
2013,Week 15,Chiefs,55
2013,Week 15,Raiders,55
2013,Week 15,Packers,59
2013,Week 15,Cowboys,59
2013,Week 15,Bengals,27
2013,Week 15,Steelers,27
2013,Week 15,Ravens,15
2013,Week 15,Lions,15
2013,Week 16,Dolphins,36
2013,Week 16,Bills,36
2013,Week 16,Vikings,53
2013,Week 16,Bengals,53
2013,Week 16,Colts,25
2013,Week 16,Chiefs,25
2013,Week 16,Buccaneers,34
2013,Week 16,Rams,34
2013,Week 16,Browns,70
2013,Week 16,Jets,70
2013,Week 16,Cowboys,62
2013,Week 16,Washington,62
2013,Week 16,Saints,70
2013,Week 16,Panthers,70
2013,Week 16,Titans,82
2013,Week 16,Jaguars,82
2013,Week 16,Broncos,59
2013,Week 16,Texans,59
2013,Week 16,Cardinals,50
2013,Week 16,Seahawks,50
2013,Week 16,Giants,39
2013,Week 16,Lions,39
2013,Week 16,Steelers,22
2013,Week 16,Packers,22
2013,Week 16,Raiders,69
2013,Week 16,Chargers,69
2013,Week 16,Patriots,63
2013,Week 16,Ravens,63
2013,Week 16,Bears,60
2013,Week 16,Eagles,60
2013,Week 16,Falcons,57
2013,Week 16,49ers,57
2013,Wild Card,Chiefs,35
2013,Wild Card,Colts,35
2013,Wild Card,Saints,21
2013,Wild Card,Eagles,21
2013,Wild Card,Chargers,46
2013,Wild Card,Bengals,46
2013,Wild Card,49ers,4
2013,Wild Card,Packers,4
2013,Divisional Round,49ers,54
2013,Divisional Round,Panthers,54
2013,Divisional Round,Chargers,41
2013,Divisional Round,Broncos,41
2013,Divisional Round,Saints,48
2013,Divisional Round,Seahawks,48
2013,Divisional Round,Colts,57
2013,Divisional Round,Patriots,57
2013,Conference Championship,Patriots,63
2013,Conference Championship,Broncos,63
2013,Conference Championship,49ers,43
2013,Conference Championship,Seahawks,43
2013,Super Bowl,Seahawks,49
2013,Super Bowl,Broncos,49
2014,Week 1,Packers,70
2014,Week 1,Seahawks,70
2014,Week 1,Saints,83
2014,Week 1,Falcons,83
2014,Week 1,Bills,77
2014,Week 1,Bears,77
2014,Week 1,Titans,77
2014,Week 1,Chiefs,77
